[2021-03-29T16:08:53.727384+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.756497+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.788381+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.796728+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.819847+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.828263+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.837490+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.866340+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.897620+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.905264+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.914838+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.946022+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.953421+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.978415+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.986279+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:53.995370+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.005646+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.014144+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.029019+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.039582+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.047915+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.057702+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.085383+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.093293+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.101883+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.109644+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.118325+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.128913+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.137025+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.146915+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.178660+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.186330+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.195713+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.207510+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.215760+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.240979+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.248914+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.258374+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.287042+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.294606+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.303501+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.313989+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.321979+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.334037+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.342204+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.351206+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.379671+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.387513+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.397291+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.427119+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.459246+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.490618+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.498271+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.520430+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.551601+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.559676+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.568525+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.580424+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.598879+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.606993+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.615807+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.626234+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.645180+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.653024+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.662188+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.672468+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.679994+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.690845+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.724258+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.731853+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.755910+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.786845+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.818781+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.849605+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.857709+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.866368+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.876630+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.884564+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.895213+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.927756+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.935640+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.945078+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.956590+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.964879+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:54.977772+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.006221+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.036637+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.068206+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.075991+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.084384+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.096080+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.103528+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.130456+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.161839+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.169763+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.178980+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.189202+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.212526+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.240618+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.272068+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.280039+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.289049+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.299209+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:08:55.317484+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.309532+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.327036+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.335301+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.364562+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.372319+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.381876+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.389157+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.398346+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.409598+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.431700+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.461454+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.489619+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.497786+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.506206+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.516900+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.549613+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.557739+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.566622+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.574552+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.583086+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.612958+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.620684+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.629806+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.637424+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.646530+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.654118+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.663254+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.674104+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.708374+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.715806+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.725466+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.736763+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.769399+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.777202+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.786150+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.797221+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.815331+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.823209+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.832116+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.840165+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.848993+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.859775+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.878886+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.886727+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.895347+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.906237+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.914681+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.924609+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.932200+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.941320+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.971863+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.980551+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:03.989460+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.017783+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.025986+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.034420+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.042618+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.057663+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.066165+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
[2021-03-29T16:09:04.077458+02:00] main.INFO: Db connection established successfully with selectAll query.... [] []
